city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
Industry,34.0166666666667,-117.95,98.0,322.0,219.0,12.064,11.785,0.279,31.245,30.522,0.723,
Inglewood,33.9575,-118.346111111111,40.0,131.0,109673.0,9.093,9.068,0.025,23.549,23.486,0.064,0.27
Ione,38.3527777777778,-120.932777777778,91.0,299.0,7918.0,4.78,4.765,0.015,12.379,12.341,0.039,0.31
Irvine,33.6841666666667,-117.7925,17.0,45.0,215529.0,66.454,66.106,0.348,172.115,171.214,0.901,0.52
Irwindale,34.1166666666667,-117.966666666667,143.0,469.0,1422.0,9.613,8.826,0.787,24.897,22.859,2.038,8.19
Isleton,38.1619444444444,-121.609166666667,3.0,10.0,804.0,0.492,0.44,0.052,1.272,1.139,0.134,10.5
Jackson,38.3488888888889,-120.774166666667,371.0,1217.0,4651.0,3.73,3.73,0.0,9.66,9.66,0.0,0.0
JurupaValley,33.9994444444444,-117.475277777778,,,97496.0,43.5,43.3,0.2,112.7,112.1,0.6,
Kerman,36.7236111111111,-120.06,67.0,220.0,17303.0,3.233,3.233,0.0,8.372,8.372,0.0,0.0
KingCity,36.2127777777778,-121.126111111111,102.0,335.0,12874.0,3.984,3.845,0.139,10.317,9.958,0.36,3.49
Kingsburg,36.5138888888889,-119.553888888889,92.0,302.0,11382.0,2.828,2.828,0.0,7.325,7.325,0.0,0.0
LaCaadaFlintridge,34.207721,-118.206979,,,20246.0,8.645,8.628,0.017,22.391,22.347,0.044,0.2
Lafayette,37.8858333333333,-122.118055555556,97.5,320.0,24285.0,15.387,15.221,0.166,39.853,39.422,0.431,1.08
LagunaBeach,33.5313888888889,-117.769166666667,6.0,20.0,22723.0,9.821,8.85,0.971,25.435,22.921,2.515,9.89
LagunaHills,33.5997222222222,-117.699444444444,113.0,371.0,30344.0,6.695,6.67,0.025,17.34,17.276,0.064,0.37
LagunaNiguel,,,121.0,397.0,62979.0,14.885,14.833,0.052,38.551,38.418,0.134,0.35
LagunaWoods,33.6091666666667,-117.732777777778,116.0,381.0,18747.0,3.115,3.115,0.0,8.07,8.069,0.0,0.01
LaHabra,33.9319444444444,-117.946111111111,91.0,299.0,60239.0,7.376,7.37,0.006,19.104,19.088,0.016,0.08
LaHabraHeights,33.9638888888889,-117.952777777778,225.0,738.0,5325.0,6.162,6.159,0.003,15.958,15.95,0.007,0.05
LakeElsinore,33.6813888888889,-117.345277777778,395.0,1306.0,51821.0,41.687,36.208,5.479,107.97,93.779,14.19,13.14
LakeForest,33.6416666666667,-117.690833333333,148.0,400.0,77264.0,17.902,17.816,0.086,46.366,46.143,0.223,0.48
Lakeport,39.0430555555556,-122.915833333333,413.0,1355.0,4753.0,3.198,3.058,0.14,8.284,7.92,0.364,4.39
Lakewood,33.8475,-118.12,14.0,46.0,80048.0,9.466,9.415,0.051,24.517,24.384,0.133,
LaMesa,32.7713888888889,-117.022777777778,161.0,528.0,57065.0,9.116,9.076,0.04,23.612,23.507,0.104,
LaMirada,33.9022222222222,-118.009722222222,59.0,194.0,48527.0,7.857,7.84,0.017,20.351,20.306,0.045,0.22
Lancaster,34.6833333333333,-118.15,719.0,2359.0,156633.0,94.547,94.276,0.271,244.876,244.175,0.701,0.29
LaPalma,33.8494444444444,-118.043888888889,14.0,46.0,15568.0,1.832,1.808,0.024,4.744,4.682,0.063,1.32
LaPuente,34.0325,-117.955277777778,107.0,351.0,39816.0,3.48,3.479,0.001,9.012,9.01,0.002,0.02
LaQuinta,33.6752777777778,-116.2975,0.0,,37467.0,35.551,35.117,0.434,92.078,90.954,1.124,1.22
Larkspur,37.9341666666667,-122.535277777778,,43.0,11926.0,3.243,3.027,0.216,8.399,7.84,0.56,6.66
Lathrop,37.8169444444444,-121.288611111111,7.0,20.0,18023.0,23.033,21.931,1.102,59.655,56.8,2.854,4.79
LaVerne,34.1144444444444,-117.771388888889,323.0,1060.0,31063.0,8.562,8.43,0.132,22.175,21.834,0.341,1.54
Lawndale,33.8866666666667,-118.353611111111,18.0,59.0,32769.0,1.974,1.974,0.0,5.113,5.113,0.0,0.0
LemonGrove,32.7413888888889,-117.031666666667,136.0,440.0,25320.0,3.88,3.88,0.0,10.05,10.05,0.0,0.0
